Name,Address,Latitude,Longitude,Rating_Tabelog,Rating_Google,Tags,Summary,Station,Region,Thumbnail,Google_URL,Tabelog_URL,Created_At,Updated_At
焼肉・ホルモンあかやしろ 東京本部,東京都港区新橋3-16-20第三アートビル 1F,35.6654064,139.7564731,3.33,4.4,"💡 숨겨진 맛집, 이자카야, 야키니쿠, 미나토구, 카드 가능, 간편결제 가능","신바시역 인근에 위치한 이곳은 교토에서 상륙한 야키니쿠 전문점으로, 반지하의 아늑하고 차분한 공간과 프라이빗한 층별 구조 덕분에 번잡한 거리에서 벗어나 여유로운 식사가 가능합니다. 고기 질은 물론 비법 소스의 맛이 뛰어나며, 후추 향이 매력적인 감자 샐러드와 매콤한 돌솥 비빔밥, 부드러운 와규 도테야키 등 안주와 식사 메뉴 모두 높은 완성도를 자랑합니다. 전반적으로 음식이 정갈하고 술과 잘 어울려 대중적이면서도 수준 높은 맛을 즐길 수 있다는 것이 장점이지만, 역에서 도보로 약 10분 정도 이동해야 하며 인기 시간대에는 예약을 권장합니다.",🚇 JR 신바시역에서 도보 2분,🗼 도쿄,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/201724/70eff1131f5cea6c933eb2ffc462e764.jpg?token=f580cb2&api=v2,"https://www.google.com/maps/place/%E7%84%BC%E8%82%89%E3%83%BB%E3%83%9B%E3%83%AB%E3%83%A2%E3%83%B3+%E3%81%82%E3%81%8B%E3%82%84%E3%81%97%E3%82%8D%E6%9D%B1%E4%BA%AC%E6%9C%AC%E9%83%A8/@35.6654064,139.7564731,17z/data=!3m1!4b1!4m6!3m5!1s0x60188b8fe8eed7bd:0xab29d8ca38f5cbb9!8m2!3d35.6654064!4d139.7564731!16s%2Fg%2F11ssf5r6hb?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/tokyo/A1301/A130103/13283290/,2026-02-27,2026-02-27
AKARENGA STEAK HOUSE,大阪府大阪市港区海岸通2-6-39,34.6515913,135.4373135,3.58,4.5,"🏆 현지인 인증맛집, 이탈리안, 프렌치, 스테이크, 미나토구, 오사카, 카드 가능","오사카 항구의 100년 된 붉은 벽돌 창고를 개조한 이 식당은 하와이 명문 ‘Hy’s Steak House’의 일본 내 유일한 자매점으로, 고풍스럽고 중후한 역사적 건축미가 특징입니다. 스타인웨이 피아노 연주가 흐르는 클래식한 내부와 이국적인 외관 덕분에 생일이나 기념일 등 특별한 날을 위한 데이트 명소로 인기가 높습니다. 대표 메뉴로는 폭신하고 고소한 맛으로 극찬받는 ‘치즈 브레드’와 고품격 스테이크가 꼽히며, 분위기와 맛 모두 훌륭하다는 평이 많습니다. 다만 격식 있는 분위기와 가격대상 주로 예약제로 운영되며, 특별한 날 방문하기 좋은 고가의 레스토랑이라는 점이 특징입니다.",🚇 오사카코역에서 363m,🐙 오사카,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/312772/20d00908f7e2cfb13b7e4b9e99080094.jpg?token=e107b78&api=v2,"https://www.google.com/maps/place/AKARENGA+STEAK+HOUSE/@34.6515913,135.4347386,17z/data=!3m1!4b1!4m6!3m5!1s0x6000e863c0c7d22f:0x1e58a9753567cb5f!8m2!3d34.6515913!4d135.4373135!16s%2Fg%2F11b6v6xy77?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/osaka/A2701/A270402/27085855/,2026-02-27,2026-02-27
大衆焼肉 港南精肉店,東京都港区港南2-4-9,35.6283925,139.7447386,3.44,4.2,"💡 숨겨진 맛집, 야키니쿠, 미나토구, 카드 가능, 간편결제 가능","시나가와역 도보 5분 거리의 가성비 좋은 대중 야키니쿠 식당으로, 국산우와 와규를 숯불 화로에 구워 먹는 서민적이고 편안한 분위기가 특징입니다.  두툼한 안창살(하라미)과 특별한 날을 위한 고기 케이크가 인기이며, 점심 메뉴가 알차고 오후 3시부터 영업하여 애매한 시간대에도 방문하기 좋습니다.  고기 질이 기대 이상으로 훌륭하고 가격 대비 만족도가 높지만, 2시간 이용 시간 제한이 매우 엄격하고 외국인 직원이 많아 소통이 다소 생소할 수 있다는 점은 참고해야 합니다.  전반적으로 혼밥부터 단체 모임까지 두루 적합하며, 합리적인 가격에 질 좋은 고기를 즐길 수 있어 재방문 의사가 높은 곳입니다.",🚇 시나가와역에서 도보 5분,🗼 도쿄,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/177912/d73a8be53e234e4fe09a8ce560589928.jpg?token=9a2b60f&api=v2,"https://www.google.com/maps/place/%E5%A4%A7%E8%A1%86%E7%84%BC%E8%82%89+%E6%B8%AF%E5%8D%97%E7%B2%BE%E8%82%89%E5%BA%97/@35.6283925,139.7447386,17z/data=!3m1!4b1!4m6!3m5!1s0x60188b14765b375f:0x44cabc4a39af1c70!8m2!3d35.6283925!4d139.7447386!16s%2Fg%2F11t42dgtyv?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/tokyo/A1314/A131403/13273070/,2026-02-27,2026-02-27
RIGOLETTO SMOKE GRILL & BAR,京都府京都市東山区祇園町南側570-192,35.0024281,135.7761578,3.49,4.3,"💡 숨겨진 맛집, 이탈리안, 바(Bar), 교토, 카드 가능, 간편결제 가능","교토 기온의 전통 가옥(마치야)을 개조한 세련된 공간에서 스페인 요리와 이탈리안의 퓨전을 즐길 수 있는 레스토랑입니다. 신선한 교토 채소를 활용한 파스타와 스테이크, 가성비 좋은 런치 코스가 인기 메뉴로 꼽히며 요리의 시각적인 완성도와 맛 모두 높은 평가를 받고 있습니다. 기온 특유의 고급스러우면서도 편안한 분위기 덕분에 다양한 모임에 적합하지만, 교토 채소가 들어간 피자 등 일부 메뉴는 개인의 취향에 따라 선호도가 갈릴 수 있다는 의견이 있습니다.",🚇 기온시조역에서 405m,⛩️ 교토,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/341032/16bb9cb1ee3c2001abbe7d2ade1ab448.jpg?token=4c6b11c&api=v2,"https://www.google.com/maps/place/RIGOLETTO+SMOKE+GRILL+%26+BAR/@35.0024281,135.7761578,17z/data=!3m1!4b1!4m6!3m5!1s0x600108c3f692b38d:0x4dd444c24ee86014!8m2!3d35.0024281!4d135.7761578!16s%2Fg%2F11b6nld4pv?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/kyoto/A2601/A260301/26024464/,2026-02-27,2026-02-27
居酒屋 えいと,香川県高松市瓦町1-9-9瓦町ビル 1F 東,34.3413108,134.0517201,3.55,4.4,"🏆 현지인 인증맛집, 이자카야, 해산물, 다카마쓰, 카드 가능, 간편결제 가능","다카마쓰 가와라町에 위치한 이 식당은 압도적인 양과 신선도를 자랑하는 **모둠 사시미**와 전국 각지의 다양한 **사케 라인업**이 강점인 인기 이자카야입니다. 모든 요리가 가격 이상의 높은 품질을 보여주며, 직원들의 친절한 서비스와 여유로운 좌석 배치 덕분에 편안하고 즐거운 분위기에서 식사할 수 있습니다. 다만, 평일에도 만석인 경우가 많아 예약 없이 방문하기 어려울 수 있다는 점이 단점이자 맛집으로서의 특징입니다.",🚇 가와라마치역 (가가와현)역에서 도보 4분,가가와,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/326033/4763b50e2917fa6bf6a081c121649b5f.jpg?token=f7c523f&api=v2,"https://www.google.com/maps/place/%E5%B1%85%E9%85%92%E5%B1%8B+%E3%81%88%E3%81%84%E3%81%A8/@34.3413108,134.0491452,17z/data=!3m1!4b1!4m6!3m5!1s0x3553eb45c524ddd3:0xeb7d6e5fbf3aaaeb!8m2!3d34.3413108!4d134.0517201!16s%2Fg%2F11f66v12dq?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/kagawa/A3701/A370101/37009951/,2026-02-27,2026-02-27
味浪漫いしがま亭,京都府京都市下京区西石垣通四条下ル斎藤町140-29,35.0025866,135.7706581,3.23,4.3,"💡 숨겨진 맛집, 이자카야, 샤브샤브, 교토, 카드 가능, 간편결제 가능","일본 교토 가모가와 강변의 전통 가옥(교마치야) 정취를 간직한 이곳은 히가시야마의 풍경을 감상하며 식사할 수 있는 뛰어난 조망과 차분한 분위기가 특징입니다. 교토산 오리(교가모)를 활용한 샤브샤브와 소면, 여름철 하모(갯장어) 요리가 대표적이며, 깊은 감칠맛을 살린 정갈한 요리들로 방문객들의 만족도가 매우 높습니다. 직원들의 친절한 서비스와 빠른 음식 제공이 장점이며, 1인 나베부터 고급 코스 요리까지 구성이 다양해 여유로운 점심 식사나 각종 모임 장소로 인기가 많습니다. 다만 창가석이나 테라스석(노료유카)은 인기가 높으므로 미리 예약 후 방문하는 것을 추천합니다.",🚇 교토카와라마치역에서 도보 3분,⛩️ 교토,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/299009/ef1443b1d7d3761803fa9bbb771fe9ee.jpg?token=c836184&api=v2,"https://www.google.com/maps/place/%E5%91%B3%E6%B5%AA%E6%BC%AB+%E3%81%84%E3%81%97%E3%81%8C%E3%81%BE%E4%BA%AD/@35.0025866,135.7680832,17z/data=!3m1!4b1!4m6!3m5!1s0x600108bf92c93b23:0xe60ad22ff8ed2a3f!8m2!3d35.0025866!4d135.7706581!16s%2Fg%2F1vr1wjlc?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/kyoto/A2601/A260201/26042453/,2026-02-27,2026-02-27
日本酒と肴 みや川,鹿児島県奄美市名瀬伊津部町10-13迫田ビル 1F,28.3784981,129.4966076,3.62,4.7,"🏆 현지인 인증맛집, 이자카야, 카드 가능, 간편결제 가능",[타베로그] 日曜日の夕食に伺った『みや川』さんです。 当日の夕方に電話にて予約、20時に入店。 予約はしておいた方がいいです。 駐車場は、近くのパーキングを案内していただきました。 店内は、カ... | [타베로그] せっかくグルメで食べていたのをみて、ここは来なければと思い訪問。 カウンターとテーブル3つぐらいの小さなお店ですが、料理やデザインなど，センスにあふれています。 お通しは、島豚焼売、イワ | [타베로그] お洒落で美味しい創作料理が楽しめるお店 奄美大島に新しくできた女子ウケ抜群の内装とお料理の数々。 お酒に合う存在感抜群の味付けに、どれもごだわりを感じました。 連れは少し塩辛いと言ってた,🚌 しまバス本社より徒歩１分,가고시마,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/200967/33c763bc7bafdef4d9b062eaa1808582.jpg?token=4359867&api=v2,"https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E9%85%92%E3%81%A8%E8%82%B4+%E3%81%BF%E3%82%84%E5%B7%9D/@28.3784981,129.4966076,17z/data=!3m1!4b1!4m6!3m5!1s0x351fbb2adaed7969:0x726d3b1d7928b4e3!8m2!3d28.3784981!4d129.4966076!16s%2Fg%2F11n15898dm?entry=ttu&g_ep=EgoyMDI2MDMwMS4xIKXMDSoASAFQAw%3D%3D",https://tabelog.com/kagoshima/A4605/A460502/46014793/,2026-02-27,2026-03-05
神山町かねなり,東京都渋谷区神山町11-17日興パレス渋谷 1F,35.6636935,139.6938206,3.33,4.5,"💡 숨겨진 맛집, 이자카야, 해산물, 카드 가능","오쿠시부야의 숨은 맛집인 이곳은 해산물 중심의 정갈한 일식 요리를 선보이는 이자카야로, 차분한 조명과 세련된 음악이 어우러져 혼술이나 소규모 모임에 최적화된 분위기를 자랑합니다.  제철 사시미를 비롯해 메히카리(파란눈매퉁이) 튀김, 게살 크림 고로케, 주먹밥 등 모든 메뉴가 맛있고 정성이 가득하다는 평이 많으며, 뛰어난 요리 퀄리티 대비 가성비 또한 훌륭합니다.  전석 카운터석으로 구성되어 조리 과정을 직접 볼 수 있는 재미가 있는 반면, 입구가 눈에 잘 띄지 않고 상황에 따라 직원들끼리의 사적인 대화가 분위기를 저해할 수 있다는 점은 방문 시 참고하시기 바랍니다.",🚇 시부야역에서 631m,🗼 도쿄,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/337790/b7bbc24b80e2baa13fa4c7eeba6430e1.jpg?token=a3c6c03&api=v2,"https://www.google.com/maps/place/%E7%A5%9E%E5%B1%B1%E7%94%BA+%E3%81%8B%E3%81%AD%E3%81%AA%E3%82%8A/@35.6636935,139.6938206,17z/data=!3m1!4b1!4m6!3m5!1s0x60188df7d3fa6b7f:0xe257d373ac776aec!8m2!3d35.6636935!4d139.6938206!16s%2Fg%2F11nmcv837g?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/tokyo/A1318/A131810/13257883/,2026-02-27,2026-02-27
西銀 ぼたん,熊本県熊本市中央区新市街2-6サンタカラヤビル　１Ｆ,32.7999237,130.7065852,3.56,3.9,"🏆 현지인 인증맛집, 이자카야, 말고기 요리, 향토 요리, 주오구, 구마모토, 카드 가능, 간편결제 가능","구마모토 향토 요리 전문점인 이곳은 '타베로그 100명점'에 선정된 검증된 맛집으로, 고급스러운 은신처 분위기의 개별실과 카운터석을 갖추고 있어 기념일이나 비즈니스 모임에 최적입니다. 신선도가 뛰어난 마사시(말고기 회)와 눈앞에서 구워주는 짚불 닭구이가 대표 인기 메뉴이며, 제철 생선회를 비롯해 주문하는 모든 요리의 완성도가 높다는 호평이 많습니다. 요리사의 친절한 설명과 세심한 서비스가 큰 장점이며, 인기 업장인 만큼 사전 예약을 통해 프라이빗한 개별실이나 조리 과정을 볼 수 있는 카운터석을 이용하는 것을 추천합니다.",🚇 구마모토역에서 도보 2분,구마모토,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/342390/e40431b1f19b93ffd4813465d4ae0c14.jpg?token=c3240c1&api=v2,"https://www.google.com/maps/place/%E8%A5%BF%E9%8A%80%E3%81%BC%E3%81%9F%E3%82%93/@32.7999237,130.7065852,17z/data=!3m1!4b1!4m6!3m5!1s0x3540f472a2114a49:0xf52ff72f42b1667b!8m2!3d32.7999237!4d130.7065852!16s%2Fg%2F1tf6ddll?entry=ttu&g_ep=EgoyMDI2MDIyNS4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/kumamoto/A4301/A430101/43006640/,2026-02-27,2026-02-27
TUTTO OK! 栄店,愛知県名古屋市中区栄3-8-123,35.1671522,136.9049842,3.31,4.8,"💡 숨겨진 맛집, 이탈리안, 나고야, 카드 가능, 간편결제 가능","나고야 사카에 골목에 위치한 이곳은 아늑하고 세련된 분위기에서 독창적인 이탈리안 요리를 즐길 수 있는 곳으로, 화려한 전채 요리 모듬과 오리 샐러드, 콰트로 피자 등이 인기 메뉴입니다. 이전 식당의 영향으로 스파이스를 가미한 독특한 메뉴 구성이 돋보이며, 1인 카운터석부터 단체용 무제한 음료 코스까지 갖춰져 있어 혼밥이나 모임 모두에 적합합니다. 다만 현지인들에게 인기가 많아 18시 이후에는 금방 만석이 되므로, 헛걸음을 하지 않으려면 사전 예약 후 방문하는 것을 강력히 추천합니다.",🚇 사카에역에서 도보 5분,🏯 아이치,https://tblg.k-img.com/resize/660x370c/restaurant/images/Rvw/325729/c33347954e5c01476960b2acf95a0ea2.jpg?token=6f7eae0&api=v2,"https://www.google.com/maps/place/TUTTO+OK%EF%BC%81/@35.1671522,136.9024093,17z/data=!3m1!4b1!4m6!3m5!1s0x6003710652b48753:0xe16c1f14e0403853!8m2!3d35.1671522!4d136.9049842!16s%2Fg%2F11vlq9ft1v?entry=ttu&g_ep=EgoyMDI2MDIyNC4wIKXMDSoASAFQAw%3D%3D",https://tabelog.com/aichi/A2301/A230103/23086989/,2026-02-27,2026-02-27
